English,Russian
customer,клиент
pad,прокладка
design,дизайн
flop,флоп
pride,гордость
yep,ага
interview,интервью
makeup,"макияж, мириться"
blast,взрыв
prince,принц
rode,ехал
bubble,пузырь
rent,арендовать
teen,подростка
